Importers	Exported value in 2020	Exported value in 2021	Exported value in 2022	Exported value in 2023	Exported value in 2024	
"Bahrain"	3042	3111	2096	2150	2367	
"Mozambique"	738	1886	668	1990	2226	
"Togo"	1063	1306	1568	1735	2173	
"Congo, Democratic Republic of the"	25	1952	530	1561	2116	
"Burkina Faso"	1382	163	293	631	2052	
"Moldova, Republic of"	5244	4741	3741	2837	1832	
"Nicaragua"	661	1258	2109	1372	1761	
"Bolivia, Plurinational State of"	5165	10047	7428	4590	1345	
"Algeria"	1684	2103	7387	3859	1339	
"Senegal"	314	3229	1829	8853	1312	
"Guyana"	63	10	484	685	1168	
"Madagascar"	408	548	786	334	1112	
"Brunei Darussalam"	301	88	230	962	1082	
"Cuba"	223	44	1105	902	1048	
"Cameroon"	4310	182	326	385	969	
"Zambia"	161	421	1065	591	892	
"Botswana"	146	179	6713	551	876	
"Libya, State of"	1108	710	2518	702	758	
"Trinidad and Tobago"	50	286	110	12	731	
"Malawi"	3	113	155	250	723	
"Tajikistan"	64	20	42	37	514	
"Eritrea"	3		1767	9	436	
"Saint Lucia"	0	24	237		435	
"Zimbabwe"	515	828	1859	479	431	
"Benin"	4	97	64	115	418	
"Dominican Republic"	35815	94749	34263	1729	407	
"Liberia"	41	99	98	299	298	
"Rwanda"	170	11	30	36	274	
"New Caledonia"	111	158	5	815	256	
"Sierra Leone"	76	141	382	237	243	
"Gabon"	84	34	82	2	209	
"Vanuatu"	2	2	18		204	
"Tonga"	6	237		3	202	
"Palestine, State of"	112	8	117	594	190	
"Fiji"	124	27	180	459	186	
"Mali"	35	33	38	1195	183	
"Somalia"	0		43	11	143	
"Namibia"	240	471	351	193	130	
"Syrian Arab Republic"	0				99	
"Maldives"	35	50	30	23	96	
"Afghanistan"	34		3	21	88	
"Belize"	1	1			88	
"Sudan"	23	15	117	111	81	
"Yemen"	11	11	15	7	77	
"Timor-Leste"	34	8	52	33	73	
"Marshall Islands"	1	12	64	4	67	
"South Sudan"	0	34		6	66	
"Bahamas"	0	71	37		66	
"Mauritania"	0	20	123	127	61	
"Cayman Islands"	0	1	64	9	60	
"Congo"	17	116	43	16	60	
"Bhutan"	0	336		30	52	
